rh,air_temp_c,co2_ppm,datetime
54.48,24.96,434.03,2024-04-06 17:00:00
55.76,20.14,444.59,2024-04-06 18:00:00
57.31,18.44,460.61,2024-04-06 19:00:00
58.89,17.65,471.53,2024-04-06 20:00:00
60.53,16.99,473.21,2024-04-06 21:00:00
61.76,16.43,475.42,2024-04-06 22:00:00
62.31,16.4,487.05,2024-04-06 23:00:00
63.04,17.03,485.0,2024-04-07 00:00:00
63.57,17.11,486.92,2024-04-07 01:00:00
63.97,17.05,489.44,2024-04-07 02:00:00
63.85,17.69,490.15,2024-04-07 03:00:00
64.27,17.37,493.28,2024-04-07 04:00:00
64.42,17.62,491.01,2024-04-07 05:00:00
64.17,18.93,472.66,2024-04-07 06:00:00
61.66,23.69,457.24,2024-04-07 07:00:00
59.08,24.36,444.85,2024-04-07 08:00:00
55.97,24.41,437.6,2024-04-07 09:00:00
54.22,24.83,425.97,2024-04-07 10:00:00
51.72,25.36,420.49,2024-04-07 11:00:00
51.88,25.32,416.96,2024-04-07 12:00:00
51.67,25.29,414.74,2024-04-07 13:00:00
52.57,24.34,413.98,2024-04-07 14:00:00
53.82,24.9,417.22,2024-04-07 15:00:00
54.87,25.17,420.12,2024-04-07 16:00:00
55.07,25.51,430.95,2024-04-07 17:00:00
56.76,20.9,446.28,2024-04-07 18:00:00
58.31,19.01,456.48,2024-04-07 19:00:00
59.86,17.94,461.61,2024-04-07 20:00:00
61.23,17.2,466.92,2024-04-07 21:00:00
62.44,16.81,470.38,2024-04-07 22:00:00
62.82,16.2,481.23,2024-04-07 23:00:00
64.01,15.69,476.69,2024-04-08 00:00:00
64.41,15.49,478.99,2024-04-08 01:00:00
64.69,15.73,479.78,2024-04-08 02:00:00
64.91,15.8,480.45,2024-04-08 03:00:00
65.21,15.54,487.52,2024-04-08 04:00:00
65.17,16.29,487.3,2024-04-08 05:00:00
63.97,19.99,463.32,2024-04-08 06:00:00
61.4,25.02,452.63,2024-04-08 07:00:00
58.61,24.11,440.49,2024-04-08 08:00:00
55.71,24.31,432.27,2024-04-08 09:00:00
53.11,25.06,424.63,2024-04-08 10:00:00
51.32,25.55,419.67,2024-04-08 11:00:00
50.94,25.43,420.01,2024-04-08 12:00:00
63.37,16.29,473.38,2024-04-08 23:00:00
